SKU,NAME,ID,pif1,pif2,pif3,pif4,pif5,pif6,pif7,pif8,pif9
VIQ-UVP-S2Q-PA,"UV Water Purifier, 3gpm 120V 22W                                                                                        ",8818,https://www.primosupply.com/images/VIQ-UVPS2Q.jpg,,,,,,,,
VIQ-UVP-S2Q-PV,"UV Water Purifier, 3gpm 120V 22W w/Monitor (Specialty-Vending)                                                          ",8819,https://www.primosupply.com/images/VIQ-UVPS2Q.jpg,,,,,,,,
VIQ-UVP-S5Q-P/12VDC,"UV Water Purifier, 6gpm, 120V 26W w/Monitor, Specialty-Off-Grid 12 Volt DC                                              ",8820,https://www.primosupply.com/images/VIQ-UVPS2Q.jpg,,,,,,,,
VIQ-UVP-S5Q-PV,"UV Water Purifier, 6gpm 120V 30W w/Monitor, Specialty-Vending                                                           ",8821,https://www.primosupply.com/images/VIQ-UVPS2Q.jpg,,,,,,,,
VIQ-UVP-SHF-140,"UV Water Purifier, 140gpm 120V 320W                                                                                     ",8822,https://www.primosupply.com/images/SHF-140.jpg,,,,,,,,
VIQ-UVP-SHF-180,"UV Water Purifier, 180gpm 120V 400W                                                                                     ",8823,https://www.primosupply.com/images/SHF-140.jpg,,,,,,,,
VIQ-UVP-SHFM-140,"UV Water Purifier, 140gpm 120V 320W w/Monitor                                                                           ",8824,https://www.primosupply.com/images/SHF-140.jpg,,,,,,,,
VIQ-UVP-SHFM-180,"UV Water Purifier, 180gpm 120V 400W w/Monitor                                                                           ",8825,https://www.primosupply.com/images/SHF-140.jpg,,,,,,,,
VIQ-UVP-SQ8-PA,"UV Water Purifier, 10gpm 120V 46W                                                                                       ",8826,https://www.primosupply.com/images/UVP-SQ8-Pa.jpg,,,,,,,,
VIQ-UVP-SV5Q-PA,"UV Water Purifier, 3.6gpm 120V 46W                                                                                      ",8827,https://www.primosupply.com/images/UVP-SQ8-Pa.jpg,,,,,,,,
VIQ-UVP-SV8Q-PA,"UV Water Purifier, 7gpm 120V 46W                                                                                        ",8828,https://www.primosupply.com/images/UVP-SQ8-Pa.jpg,,,,,,,,
VIQ-UVP-VH200,"UV Water Purifier, 9 gpm 120V 35W                                                                                       ",8829,https://www.primosupply.com/images/viq-VH200_small.jpg,https://www.primosupply.com/images/viq-VH200.jpg,,,,,,,
VIQ-UVP-VH410,"UV Water Purifier, 18 gpm 120V 60W                                                                                      ",8830,https://www.primosupply.com/images/viq-VH410_small.jpg,https://www.primosupply.com/images/viq-VH410.jpg,,,,,,,
VIQ-UVP-VH410M,"UV Water Purifier, 18gpm 120V 60W w/UV Monitor                                                                          ",8831,https://www.primosupply.com/images/VIQ-UVP-VH410.jpg,,,,,,,,
VIQ-UVP-VP600,"UV Water Purifier, 30 gpm 120V 70W                                                                                      ",8832,https://www.primosupply.com/images/viq-VP600_small.jpg,https://www.primosupply.com/images/viq-VP600.jpg,,,,,,,
VIQ-UVP-VP600M,"UV Water Purifier, 30 gpm 120V 70W w/UV Monitor                                                                         ",8833,https://www.primosupply.com/images/viq-VP600M1.jpg,,,,,,,,
VIQ-UVP-VP950,"UV Water Purifier, 46gpm 120V 95W                                                                                       ",8834,https://www.primosupply.com/images/VIQ-UVP-VH410.jpg,,,,,,,,
VIQ-UVP-VP950M,"UV Water Purifier, 46gpm 120V 95W w/UV Monitor                                                                          ",8835,https://www.primosupply.com/images/VIQ-UVP-VH410.jpg,,,,,,,,
